ticker,source,freq,name_eng,name_rus,observation_start,use_archive,name_rus_short,transform,deseason
investment_fc_budget_funds,rosstat,q,"Investments in fixed capital, of which budget funds, bln rubles","Инвестиции в основной капитал организаций (без субъектов малого предпринимательства) по источникам финансирования, млрд рублей: из них бюджетные средства",,,,,
investment_fc_federal_budget,rosstat,q,"Investments in fixed capital, from federal budget, bln rubles","Инвестиции в основной капитал организаций (без субъектов малого предпринимательства) по источникам финансирования, млрд рублей: из них средства из федерального бюджета",,,,,
residential,rosstat,m,"Residential buildings commissioned by organizations of all types of ownership, mln sq meters of total floor space of living accommodations","Ввод в действие жилых домов организациями  всех форм собственности, млн кв.м общей площади жилых помещений",,,,,
deficit,rosstat,special,"Deficit (-), surplus of consolidated budget, bln rubles","Дефицит ( – ), профицит консолидированного бюджета   (по данным Федерального казначейства), млрд рублей",,,,,
retail_food_nom,rosstat,m,"Retail trade turnover: food products, including beverages, and tobacco, bln rubles","Оборот розничной торговли, пищевые продукты, включая напитки, и табачные изделия, млрд рублей",,,,,
retail_food_real,rosstat,m,"Retail trade turnover: food products, including beverages, and tobacco, percent of previous period (at constant prices)","Оборот розничной торговли, пищевые продукты, включая напитки, и табачные изделия, в % к предыдущему периоду (в сопоставимых ценах)",,,,,
retail_non_food_nom,rosstat,m,"Retail trade turnover: non-food goods, bln rubles","Оборот розничной торговли, непродовольственные товары,  млрд рублей",,,,,
retail_non_food_real,rosstat,m,"Retail trade turnover: non-food goods, percent of previous period (at constant prices)","Оборот розничной торговли, непродовольственные товары, в % к предыдущему периоду (в сопоставимых ценах)",,,,,
retail_catering_nom,rosstat,m,"Catering turnover, bln rubles","Оборот общественного питания, млрд рублей",,,,,
retail_catering_real,rosstat,m,"Catering turnover, percent of previous period (at constant prices)","Оборот общественного питания, в % к предыдущему периоду (в сопоставимых ценах)",,,,,
retail_inventory_nom,rosstat,m,"Trade stock of retail trade organizations, end of period,  bln rubles","Товарные запасы в организациях розничной торговли, на конец периода,  млрд рублей",,,,,
retail_inventory_days,rosstat,m,"Availability of stock of retail trade turnover, days of trade","Обеспеченность оборота розничной торговли запасами, дней торговли",,,,,
net_result_mining,rosstat,special,"Net financial result by economic activity: Mining and quarrying, bln rubles","Сальдированный финансовый результат по видам экономической деятельности, млн рублей Добыча полезных ископаемых",,,,,
net_result_manufacturing,rosstat,special,"Net financial result by economic activity: Manufacturing, bln rubles",Обрабатывающие производства,,,,,
net_result_electricity,rosstat,special,"Net financial result by economic activity: Electricity, gas, steam and air conditioning supply, bln rubles","Обеспечение электрической энергией,  газом и паром; кондиционирование воздуха",,,,,
net_result_construction,rosstat,special,"Net financial result by economic activity: Construction, bln rubles",Строительство,,,,,
net_result_transport,rosstat,special,"Net financial result by economic activity: Transport and storage, bln rubles",Транспортировка  и хранение,,,,,
loss_making_mining,rosstat,special,Loss-making organizations: Mining and quarrying,"Убыточные организации: добыча полезных ископаемых: удельный вес  общем количестве организаций, процентов ",,,,,
loss_making_manufacturing,rosstat,special,Loss-making organizations: Manufacturing,Убыточные организации: обрабатывающие производства,,,,,
loss_making_electricity,rosstat,special,"Loss-making organizations: Electricity, gas, steam and air conditioning supply","Убыточные организации: обеспечение электрической энергией,  газом и паром; кондиционирование воздуха",,,,,
loss_making_construction,rosstat,special,Loss-making organizations: Construction,Убыточные организации: строительство,,,,,
loss_making_transport,rosstat,special,Loss-making organizations: Transport and storage,Убыточные организации: транспортировка и хранение,,,,,
indebtedness_cred,rosstat,m,"Creditor indebtedness, bln rubles","Кредиторская задолженность, млрд рублей",,,,,
indebtedness_cred_overdue,rosstat,m,"Creditor indebtedness: overdue payments, bln rubles","Кредиторская задолженность, просроченная, млрд рублей",,,,,
indebtedness_cred_suppliers,rosstat,m,"Creditor indebtedness to suppliers, bln rubles","Просроченная кредиторская задолженность поставщикам, млрд рублей",,,,,
indebtedness_cred_budget,rosstat,m,"Creditor indebtedness in budgets of all levels, bln rubles","Просроченная кредиторская задолженность в бюджеты всех уровней, млрд рублей",,,,,
indebtedness_debt,rosstat,m,"Debtor indebtedness, bln rubles","Дебиторская задолженность, млрд рублей",,,,,
indebtedness_debt_overdue,rosstat,m,"Debtor indebtedness: overdue payments, bln rubles","Дебиторская задолженность, просроченная, млрд рублей ",,,,,
indebtedness_debt_customer,rosstat,m,"Debtor indebtedness from debtor overdue payments is indebtedness of customers, bln rubles","Просроченная дебиторская задолженность покупателям, млрд рублей",,,,,
wage_overdue,rosstat,m,"Overdue arrears of wages of month, total, mln rubles         ","Просроченная задолженность по заработной плате на начало месяца, млн рублей  ",,,,,
ppi_mining,rosstat,m,Producer price index of industrial goods: Mining and quarrying,Индексы цен производителей промышленных товаров: добыча полезных ископаемых,,,,,
ppi_manufacturing,rosstat,m,Producer price index of industrial goods: Manufacturing,Индексы цен производителей промышленных товаров: обрабатывающие производства,,,,,
ppi_electricity,rosstat,m,"Producer price index of industrial goods: Electricity, gas, steam and air conditioning supply","Индексы цен производителей промышленных товаров: обеспечение электрической энергией, газом и паром; кондиционирование воздуха",,,,,
ppi_water,rosstat,m,"Producer price index of industrial goods: Water supply;sewerage, waste management and remediation activities","Индексы цен производителей промышленных товаров: водоснабжение; водоотведение,организация сбора и утилизация отходов, деятельность по ликвидации загрязнений",,,,,
ppi_oil,rosstat,m,"Average producer prices for energy resources and refined products (end of period): dehydrated, desalted and stabilized oil, rubles per ton ","Средние цены производителей на энергоресурсы и  продукты нефтепереработки (на конец периода): нефть обезвоженная, обессоленная и стабилизированная, рублей за тонну ",,,,,
ppil_coal,rosstat,m,"Average producer prices for energy resources and refined products (end of period): Coal, except anthracite, coked coal and brown coal, rubles per ton","Средние цены производителей на энергоресурсы и  продукты нефтепереработки (на конец периода): уголь, за исключением антрацита, угля коксующегося и угля бурого, рублей за тонну",,,,,
ppi_gas,rosstat,m,"Average producer prices for energy resources and refined products (end of period): Natural gas, rubles per thou cubic meter","Средние цены производителей на энергоресурсы и  продукты нефтепереработки (на конец периода): газ горючий природный (газ естественный), рублей за тыс.куб.м",,,,,
